"filename", "language", "Java", "Batch", "XML", "Java Properties", "MS SQL", "comment", "blank", "total"
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/ArtistaService.java", "Java", 64, 0, 0, 0, 0, 0, 14, 78
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/AuthService.java", "Java", 66, 0, 0, 0, 0, 0, 20, 86
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/CompraService.java", "Java", 55, 0, 0, 0, 0, 3, 12, 70
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/JWTService.java", "Java", 52, 0, 0, 0, 0, 0, 17, 69
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/RandomService.java", "Java", 8, 0, 0, 0, 0, 0, 5, 13
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/TipoUsuarioService.java", "Java", 29, 0, 0, 0, 0, 2, 5, 36
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/java/net/ausiasmarch/musicshop/service/UsuarioService.java", "Java", 99, 0, 0, 0, 0, 0, 26, 125
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/resources/application.properties", "Java Properties", 0, 0, 0, 20, 0, 2, 15, 37
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/main/resources/musicshop (3).sql", "MS SQL", 0, 0, 0, 0, 49, 53, 25, 127
"/Users/carlosmaciasgil/VISUAL/TFG-main/TFG/backend/musicshop/src/test/java/net/ausiasmarch/musicshop/MusicshopApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 1208, 108, 117, 23, 49, 112, 437, 2054
